iddrink,strdrink,stralcoholic,strcategory,strglass,strinstructions
11339,English Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
15082,Royal Flush,Alcoholic,Shot,Old-fashioned glass,Pour all the ingredients into tumbler over ice. Strain into glass.
11989,Queen Charlotte,Alcoholic,Ordinary Drink,Collins glass,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve."
12890,Cranberry Punch,Non alcoholic,Punch / Party Drink,Punch Bowl,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold."
17202,Horse's Neck,Alcoholic,Ordinary Drink,Highball glass,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
12158,Scotch Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
15849,Apricot punch,Alcoholic,Punch / Party Drink,Punch bowl,Pour all ingrediants into a large punch bowl. Add ice and 4 oranges that are peeled and divided.
16419,Avalanche,Alcoholic,Milk / Float / Shake,Highball glass,"Mix in highball glass over ice, shake well."
14482,Darkwood Sling,Alcoholic,Soft Drink / Soda,Cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes."
15567,Adam Sunrise,Alcoholic,Ordinary Drink,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds."
11690,Mai Tai,Alcoholic,Ordinary Drink,Collins glass,Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
11013,Alaska Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve."
12748,Orange Scented Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings."
15615,Chocolate Monkey,Optional alcohol,Milk / Float / Shake,Parfait glass,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry."
12656,Banana Strawberry Shake,Non alcoholic,Milk / Float / Shake,Highball Glass,Blend all together in a blender until smooth.
15423,110 in the shade,Alcoholic,Beer,Beer Glass,Drop shooter in glass. Fill with beer
11375,Foxy Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
12420,Tuxedo Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.
12798,Coffee Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks."
11050,Apricot Lady,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the rum, apricot brandy, triple sec, lemon juice, and egg white. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice."
12138,Scotch Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve."
14364,Aztec Punch,Alcoholic,Punch / Party Drink,Punch bowl,"Mix all ingredients in a pitcher. Mix thoroughly and pour into whatever is available, the bigger the better! This drink packs a big punch, so don't over do it."
11242,Chicago Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
14053,Mother's Milk,Alcoholic,Shot,Shot glass,"Shake over ice, strain. Serves two."
15511,Baby Eskimo,Alcoholic,Milk / Float / Shake,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink."
12776,Melya,Non alcoholic,Coffee / Tea,Coffee mug,"Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
12097,Rum Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
17044,Homemade Kahlua,Alcoholic,Homemade Liqueur,Collins Glass,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks."
12714,Kiwi Papaya Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.
11423,Godfather,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
15743,Fuzzy Asshole,Alcoholic,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
16041,Mudslinger,Alcoholic,Punch / Party Drink,Punch bowl,Add all contents to a large jug or punch bowl. Stir well!
12724,Sweet Bananas,Non alcoholic,Milk / Float / Shake,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
13072,Popped cherry,Alcoholic,Ordinary Drink,Highball glass,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!
16333,Adam Bomb,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice."
11870,Orange Oasis,Alcoholic,Ordinary Drink,Highball glass,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve."
16250,Rum Runner,Alcoholic,Punch / Party Drink,Cocktail glass,Mix all ingredients in glass & add ice.
16196,Moranguito,Alcoholic,Shot,Shot glass,"first you put rhe absinthe, then put tequila, then put the Granadine syrup."
14372,Absolut limousine,Alcoholic,Other/Unknown,Collins Glass,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.
12474,Waikiki Beachcomber,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
17228,Addison,Alcoholic,Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.
13206,Caipirissima,Alcoholic,Ordinary Drink,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!
12784,Thai Iced Coffee,Non alcoholic,Coffee / Tea,Highball glass,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee."
17239,Hunter's Moon,Alcoholic,Cocktail,Balloon Glass,"Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange."
17198,French Connection,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
16178,Jitterbug,Alcoholic,Cocktail,Cocktail Glass,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
12728,Yoghurt Cooler,Non alcoholic,Other/Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed."
17214,Russian Spring Punch,Alcoholic,Ordinary Drink,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine."
17186,Clover Club,Alcoholic,Ordinary Drink,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up."
17074,Arizona Twister,Alcoholic,Cocktail,Hurricane glass,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
11157,Brandy Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices."
17215,Spritz,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Build into glass over ice, garnish and serve."
17205,Mimosa,Alcoholic,Ordinary Drink,Champagne flute,"Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
11120,Bluebird,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
14586,Orange Push-up,Alcoholic,Ordinary Drink,Hurricane glass,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!
17216,Tommy's Margarita,Alcoholic,Ordinary Drink,Old-Fashioned glass,Shake and strain into a chilled cocktail glass.
11012,Alabama Slammer,Alcoholic,Ordinary Drink,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve."
12870,Artillery Punch,Alcoholic,Punch / Party Drink,Punch bowl,"Combine all the ingredients in a large punch bowl with a block of ice. If found too dry, sugar syrup may be added. Decorate with twists of lemon peel."
11124,Boomerang,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
11433,Grass Skirt,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
12418,Turf Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
17212,Espresso Martini,Alcoholic,Cocktail,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
16289,Apple Grande,Alcoholic,Punch / Party Drink,Punch Bowl,Chill both ingredients!! Mix in a tumbler and enjoy!
11046,Applecar,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
11938,Pink Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
14065,Zippy's Revenge,Alcoholic,Cocktail,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
14860,Talos Coffee,Alcoholic,Coffee / Tea,Brandy snifter,Add your GM and then add your coffee.
11170,Brandy Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve."
16992,Pink Penocha,Alcoholic,Punch / Party Drink,Punch bowl,mix all ingredients into bowl keep iced stir frequently
13068,Brave Bull Shooter,Alcoholic,Shot,Shot glass,Pour Tabasco into bottom of shot glass and fill with tequila.
11020,Algonquin,Alcoholic,Ordinary Drink,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
11985,Quarter Deck Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
12528,White Russian,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
17177,Dark Caipirinha,Alcoholic,Cocktail,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
16485,Flaming Lamborghini,Alcoholic,Cocktail,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
17825,Brigadier,Alcoholic,Cocktail,Coupe Glass,Mix ingredients in a warmed mug and stir.
12730,Castillian Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six."
17175,Girl From Ipanema,Alcoholic,Ordinary Drink,Wine Glass,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne"
17179,Old Fashioned,Alcoholic,Cocktail,Old-fashioned glass,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry."
11028,Amaretto Stinger,Alcoholic,Ordinary Drink,Cocktail glass,"Shake ingredients well with cracked ice, strain into a cocktail glass, and serve."
17120,Brain Fart,Alcoholic,Punch / Party Drink,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
11009,Affinity,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
17108,Coke and Drops,Non alcoholic,Soft Drink / Soda,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass."
16967,Vodka Fizz,Alcoholic,Other/Unknown,White wine glass,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top."
11662,London Town,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
13535,Pink Panty Pulldowns,Alcoholic,Ordinary Drink,Collins Glass,Shake well
12658,Banana Strawberry Shake Daiquiri-type,Non alcoholic,Milk / Float / Shake,Cocktail Glass,Blend all together in a blender until smooth.
17192,Porto flip,Alcoholic,Ordinary Drink,Cocktail glass,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve."
13847,Jackhammer,Alcoholic,Ordinary Drink,Collins Glass,"Serve over ice- Warning,Deadly!"
17220,Butter Baby,Alcoholic,Milk / Float / Shake,Beer mug,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.
11524,Imperial Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
12706,Imperial Cocktail,Alcoholic,Cocktail,Cocktail glass,Shake with ice and strain into cocktail glass.
17250,Corpse Reviver #2,Alcoholic,Cocktail,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
"
13024,Sweet Sangria,Alcoholic,Punch / Party Drink,Pitcher,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
11472,Hawaiian Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
12256,Sol Y Sombra,Alcoholic,Ordinary Drink,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
11055,Artillery,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
14087,Red Snapper,Alcoholic,Shot,Old-fashioned glass,"One shot each, shake n shoot"
15266,Avalon,Alcoholic,Ordinary Drink,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
13389,Snake Bite (UK),Alcoholic,Beer,Pint glass,Pour ingredients into a pint glass. Drink. Fall over.
12188,Sherry Eggnog,Alcoholic,Ordinary Drink,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
13066,Bruce's Puce,Alcoholic,Shot,Shot glass,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)"
16100,Amaretto Stone Sour #3,Alcoholic,Other/Unknown,Highball glass,"Shake sour mix, tequila and amaretto with ice. Strain into highball glass. Add a splash of OJ. Garnish with orange slice and a cherry."
12402,Tom Collins,Alcoholic,Ordinary Drink,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
15997,GG,Optional alcohol,Ordinary Drink,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
17006,Kool First Aid,Alcoholic,Shot,Shot glass,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
11021,Allegheny,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
16108,9 1/2 Weeks,Alcoholic,Cocktail,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
12718,Pineapple Gingerale Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.
16991,Downshift,Alcoholic,Punch / Party Drink,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional."
11410,Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
